,Job Title,company,Location,Employment Type,level,requirement,description,Experience Needed,skills
10,Business Data Analyst,Tidal,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['Bachelor’s degree in engineering or computer science or relevant.', '3 + years of professional experience.', 'Preferred to have experience in the software industry', 'Software  User Experience (UX) and Interaction Design (IX) experience is a must.', 'Knowledge of other software and tools commonly used in the industry (e.g., ERP systems, data analysis tools).', 'Proven experience as a Systems Analyst or similar role, with a solid understanding of systems analysis principles and methodologies.', 'Strong technical knowledge, including programming languages, databases, operating systems, and software development methodologies.', 'Excellent research and analytic skills', 'In-depth knowledge of Business & data modeling techniques', 'Excellent attention to detail', 'Ability to turn complex concepts into simple language', 'Excellent verbal and written communication skills', 'Excellent time management and prioritization skills.', 'Business Writing and Reporting.', 'Documentation proficiency in both English and Arabic.', 'Exceptional analytical and conceptual thinking skills.', 'The ability to influence stakeholders and work closely with them to determine acceptable solutions.', 'Advanced technical skills.', 'Excellent documentation skills.', 'Fundamental analytical and conceptual thinking skills.', 'Experience creating detailed reports and giving presentations.', 'Competency in Microsoft applications including Word, Excel, and Outlook.', 'A track record of following through on commitments.', 'Excellent planning, organizational, and time management skills.', 'Experience leading and developing top-performing teams.', 'A history of leading and supporting successful projects.', 'Preferred to have experience in the software industry']","['Determine operational objectives by studying business functions gathering information, evaluating output requirements and formats', 'Collaborate with software developers and programmers to ensure the effective implementation of system changes and enhancements.', 'Cerate & map the current process.', 'Cerate & build up clear project documentation.', 'Create project plans, tasks, and deliverables for technical teams, developers    ', 'Provides technical writing-up that is needed for project delivery + development and reporting requirements.', 'Performs related work as assigned.', 'Analyzing the structure of a business to determine how it operates and determine its objectives', 'Construct workflow charts and diagrams, studying system capabilities, writing specifications', 'Improve systems by studying current practices, designing modifications', 'Recommend controls by identifying problems, writing improved procedures', 'Maintain user confidence and protect operations by keeping information confidential', 'Prepare technical reports by collecting, analyzing, and summarizing information and trends', 'Interpret, evaluate, and interrelate research data and develop integrated business analyses and projections for incorporation into strategic decision-making', 'Perform daily, weekly, and monthly reviews and analyses of current processes using operational metrics and reports', 'Conduct software testing and quality assurance to ensure the reliability and performance of applications.', 'Troubleshoot and resolve software-related issues, working closely with end-users to provide support and guidance.']",More Than 3 Years,"['Analysis', 'Analyst', 'Business Analysis', 'Data Analysis', 'English', 'Computer Science', 'Software', 'Software Development', 'Information Technology (IT)', 'business', 'Research', 'Engineering', 'ERP System', 'HCM', 'Information Systems', 'Business Analytics', 'Business Plans', 'Team Leadership']"
11,Data Analyst,Aman,"6th of October, Giza",Full Time,Entry Level (Junior Level / Fresh Grad),"['Ownership ', 'Functional Skills', 'Ideas presentation and Taking initiative ', 'Continuous Learning ', 'Customer Centricity', 'Proficiency with data mining, mathematics, and statistical analysis', 'Experience with Excel, PowerPoint, Tableau, SQL, and programming languages (ex: Java/Python, SAS)', '1-2 years of proven experience as a Data Analyst or Data Scientist', 'Bachelor’s degree in Statistics, Applied Mathematics, or a related discipline']","['Execute numerical data to help solve problems across various domains and All Aman LOBs', 'Research and devise innovative statistical models for data analysis', 'Analyze data for trends and patterns, and interpret data with clear objectives in mind', 'Identify relevant data sources and sets to mine for client business needs, and collect large structured and unstructured datasets and variables', 'Devise and utilize algorithms and models to mine big-data stores; perform data and error analysis to improve models; clean and validate data for uniformity and accuracy', 'Implement analytical models in production by collaborating with software developers and machine-learning engineers', 'Enable smarter business processes by using analytics for meaningful insights', 'Collaborate with product design and engineering teams to develop an understanding of needs', 'Research and devise innovative statistical models for data analysis']",1 To 2 Years,"['Analysis', 'Analyst', 'Data', 'Data Analyst', 'Data Analysis', 'Statistics', 'Python', 'Tableau', 'SQL']"
12,Senior Data Analyst,Cilantro,"Maadi, Cairo",Full Time,Experienced (Non-Manager),[],[],4 To 6 Years,"['Analysis', 'analytical', 'Computer Science', 'Data Analysis', 'Data Analyst', 'Data', 'Programming', 'Python', 'SQL']"
13,Business Data Analyst,Confidential Company,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['Bachelor’s degree in engineering or computer science or relevant.', '3 + years of professional experience.', 'Electronic cash collection experience.', 'Software  User Experience (UX) and Interaction Design (IX) experience is must.', 'Excellent research and analytic skills', 'In-depth knowledge of Business & data modeling techniques', 'Excellent attention to detail', 'Ability to turn complex concepts into simple language', 'Excellent verbal and written communication skills', 'Excellent time management and prioritization skills.', 'Business Writing and Reporting.', 'Documentation proficiency in both English and Arabic.', 'Exceptional analytical and conceptual thinking skills.', 'The ability to influence stakeholders and work closely with them to determine acceptable solutions.', 'Advanced technical skills.', 'Excellent documentation skills.', 'Fundamental analytical and conceptual thinking skills.', 'Experience creating detailed reports and giving presentations.', 'Competency in Microsoft applications including Word, Excel, and Outlook.', 'A track record of following through on commitments.', 'Excellent planning, organizational, and time management skills.', 'Experience leading and developing top-performing teams.', 'A history of leading and supporting successful projects.']","['key interface between the Customer / users  and the technical team as gather information, document processes, and confirm the final documents that need to be implement.', 'Cerate & mapping current process.', 'Cerate & build up clear project documentation. ', 'Provides technical writing-up that needed for project delivery + development and reporting requirements.', 'Performs related work as assigned. ', 'Analyzing the structure of a business to determine how it operates and determine its objectives', 'Identifying any problems with the current business model', 'Developing comprehensive end-to-end Business scenarios, use cases, and test cases', 'Communicating with various Stockholders levels.', 'Enhance reporting outputs and data visualization.', 'Collaborate with development team members, data teams, and Project Management to develop business and technical requirements.', 'Create a detailed business analysis, indicate challenges, identify, and validate the key business requirements.', 'Create and document functional requirements and non-functional requirements.', 'Evaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions.', 'Leading ongoing reviews of business processes and developing optimization strategies.', 'Staying up-to-date on the latest process and IT advancements to automate and modernize systems.', 'Conducting meetings and presentations to share ideas and findings.', 'Performing requirements analysis.', 'Documenting and communicating the results of your efforts.', 'Effectively communicating your insights and plans to cross-functional team members and management.', 'Gathering critical information from meetings with various stakeholders and producing useful reports.', 'Working closely with clients, technicians, and managerial staff.', 'Providing leadership, training, coaching, and guidance to junior staff.', 'Ensuring solutions meet business needs and requirements.', 'Performing user acceptance testing.', 'Updating, implementing, and maintaining procedures.', 'Prioritizing initiatives based on business needs and requirements.', 'Serving as a liaison between stakeholders and users.', 'Managing competing resources and priorities.', 'Monitoring deliverables and ensuring timely completion of projects.']",3 To 5 Years,"['Analysis', 'Business Analyst', 'Information Technology (IT)', 'Analyst', 'Business Analysis', 'Computer Science', 'Software', 'analytical', 'business']"
14,Data Analyst,Care Services EG,"Abbassia, Cairo",Full Time,Experienced (Non-Manager),"['3-5 years of experience as a Data Analyst', ""Bachelor's degree in a quantitative field such as mathematics, statistics, computer science, or a related discipline. "", 'Proficiency in data manipulation and analysis tools such as SQL, Python, R, or similar.', 'Experience with data visualization tools such as Tableau, Power BI, or similar.', 'Excellent problem-solving skills and attention to detail. ', 'Strong written and verbal communication skills.', ' Ability to work independently and collaborate effectively in a team environment', '   Fluent in English, both writing and speaking is a Must.', '  Excellent analytical skills.']","['Design, develop and maintain business intelligence solutions.', 'Craft and execute queries upon request for data.', 'Present information through reports and visualization based on requirements gathered from stakeholders.', 'Interact with the team to gain an understanding of the business environment, technical context, and organizational strategic direction.', 'Design, build and deploy new, and extend existing dashboards and reports that synthesize distributed data sources.', 'Ensure data accuracy, performance, usability, and functionality requirements of BI platform.', 'Manage data through MS Excel, Google sheets, and SQL applications, as required and support other analytics platforms .', 'Develop and execute database queries and conduct analyses.', 'Develop and update technical documentation requirements.', 'Clean, organize, and transform data to make it suitable for analysis.', ' Develop and implement data models, algorithms, and statistical techniques to extract insights from complex datasets. ', 'Identify opportunities for process improvement and data-driven decision-making.']",3 To 5 Years,"['Analysis', 'analytical', 'BI', 'Computer Science', 'SQL', 'Statistics', 'Tableau', 'Data Analysis']"
15,Analyst - Financial Planning and Reporting,Sidra Medicine,"Doha, Qatar",Full Time,Not Specified,[],[],Not Specified,"['Analysis', 'Information Technology (IT)', 'Computer Science', 'Business Analysis', 'Finance', 'Accounting', 'Microsoft Office', 'Financial Analysis', 'Research', 'Data Analysis', 'Engineering', 'Software Development', 'System Analysis', 'Commerce', 'SQL', 'Software', 'Microsoft Excel', 'Analyst', 'Computer Engineering', 'English']"
16,Market Research And Data Analyst,Outservingplus,"10th of Ramadan City, Cairo",Full Time,Experienced (Non-Manager),"['Experience at least 3 years as Market research', 'familiar with Saap, SAS, CRM ', ' have certificates related to marketing']",[],3 To 5 Years,"['market', 'Market Research', 'Marketing', 'SAS', 'E-Marketing', 'CRM']"
17,Data Analyst,2CooM,"6th of October, Giza",Full Time,Experienced (Non-Manager),"[""Bachelor's degree in a quantitative field such as mathematics, statistics, computer science, or a related discipline. "", 'Proven experience as a data analyst or similar role.', ' Proficiency in data manipulation and analysis tools such as SQL, Python, R, or similar.', ' Strong analytical skills with the ability to work with complex datasets.', ' Experience with data visualization tools such as Tableau, Power BI, or similar.', ' Familiarity with statistical analysis techniques, predictive modeling, and machine learning algorithms. ', 'Excellent problem-solving skills and attention to detail. ', 'Strong written and verbal communication skills.', ' Ability to work independently and collaborate effectively in a team environment.']",[],1 To 5 Years,"['Analyst', 'Computer Science', 'Data Analyst', 'Python', 'SQL']"
18,Data Analyst,Al Asdekaa Group for Dairies Production and Trading,"Alexandria, Egypt",Full Time,Entry Level (Junior Level / Fresh Grad),"['Work experience as a Data Analyst or similar role', 'Expertise in Analytics', 'In-depth understanding of Python  practices', 'Excellent knowledge of MS Excel', 'Analytical abilities', 'BSc in  relevant field', 'Alexandria Resident only.']","['Prepare reports on findings while illustrating data with graphs and translating complex results into written texts that are clear and understandable', 'Devise and assess procedures and methods for data collection, including opinion polls, surveys and questionnaires', 'Conduct research regarding marketing strategies and consumer opinions while collaborating with statisticians, marketing professionals and pollsters', 'Track and forecast trends in sales and marketing, and analyze in detail the data collected to provide management with thorough reports and results', 'Collect and analyze data regarding customer preferences, demographics, buying habits and needs to better identify market potential and factors influencing product demand', 'Attend staff conferences in order to provide management with proposals and information on the distribution, promotion, pricing and design of products and services', 'Measure the effectiveness of advertising, marketing and communications strategies.', 'Data Cleaning. ']",1 To 3 Years,"['Data', 'Data Analyst', 'Python']"
19,Market Analyst,BEAM Consolidated,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['Bachelor’s degree in marketing, Business, Economics, or a related field. ', '3+ years of experience in market research and analysis', 'Proven experience in market analysis, data interpretation, and trend forecasting', 'Familiarity with statistical analysis tools and market research methodologies', 'Strong understanding of business and marketing principles', 'Knowledge of the building materials industry and market trends relevant to the company “is preferable.”', 'Certifications in market research or analytics would be an advantage.', 'Exceptional analytical and critical thinking skills', 'Proficiency in data analysis and interpretation', 'Excellent written and verbal communication skills', 'Ability to work independently and collaboratively in a team environment', 'Strong attention to detail and accuracy', 'Proficient in Microsoft Office Suite and data visualization tools.\n ']","['Conducts comprehensive market research to identify trends and insights.', 'Analyzes competitor landscapes, providing detailed reports on competitor strategies and market share.', 'Transforms complex data sets into actionable insights and recommendations.', 'Collaborates with the digital team to evaluate campaign performance metrics.', 'Supports the strategic planning process with relevant data and predictions.', 'Engages with external research agencies when required for specialized insights.', 'Evaluates consumer feedback to derive patterns and insights']",3 To 7 Years,"['analytical', 'Analysis', 'Data Analysis', 'Market Analysis', 'Market Research', 'Analytics', 'Research', 'Business Research', 'buliding materials']"
20,Junior Well Log Analyst,TGT group,"Riyadh, Saudi Arabia",Full Time,Not Specified,[],[],Not Specified,"['information technology (it)', 'computer science', 'software development', 'software engineering', 'engineering', 'analysis', 'development', 'quality control', 'quality', 'analytical', 'data']"
21,Senior Business Analyst,BI,Technologies,Full Time,Experienced (Non-Manager),"['5+ Previous experience in Business Analysis', 'Previous experience in ERP is a MUST.', 'A degree in IT / Computer Science', 'Proven experience in eliciting requirements', 'Experience in analyzing data to draw business-relevant conclusions and in data visualization techniques and tools', 'Strong written and verbal communication skills including technical writing skills in both Arabic and English', 'Must have working experience on large scale projects as well as handling day-to-day operational requests', 'Strong project management, ability to successfully manage multiple tasks at any given point, strong relationship building skills & communication skills']","['Prepare detailed analysis document with complete awareness with the appropriate techniques and well definition for functional and non-functional requirements.', 'Participate in the full life-cycle development process from product definition, through design, development, test, release, maintenance and developing innovative solutions to customer requirements.', 'Work with technology and business teams to define project specifications.', 'Enhance the efficiency of development, test, and release process; develop tools, frameworks.', 'Support developers and QC engineers by clarifying requirements or business concerns raised anytime within the development life cycle.', 'Effectively communicating with product owners’ insights and plans to support cross-functional team members and management.', 'Proactively communicate and collaborate with clients and internal teams to determine / analyze functional requirements and appropriate / accurate project scope considering business needs.', 'Translate complex business, functional and technical requirements into detailed work tasks; prepare project scope statements.', 'Develop requirements specifications according to standard templates.', 'Review the Documents with his manager and the technical team before finalizing and version the document.']",More Than 5 Years,"['Business Analysis', 'business', 'Business Development', 'Computer Science', 'Information Technology (IT)', 'Data', 'Management', 'IT', 'Project Management', 'Communication skills', 'Communication', 'English']"
22,Financial Analyst,Cilantro,"Maadi, Cairo",Full Time,Entry Level (Junior Level / Fresh Grad),"['Bachelor’s degree in finance, accounting, or related field.', 'Proven experience +2 years in financial analysis, reporting, cost accounting, or treasury functions.', 'Strong analytical and problem-solving skills.', 'Proficiency in financial modeling and using relevant software/tools', 'Excellent communication and collaboration skills.', 'Thorough understanding of accounting concepts and standards', 'Excellent organizational skills and attention to detail.', 'Certificates such as CFA, FMVA, CMA etc is preferred.', 'Good knowledge of DBMS and SQL', 'Good Knowledge of Power Query, Power Bi and Tableau', 'Proficiency in VBA and google app script', 'Good knowledge of agile ways of working (SCRUM) and Jira/Confluence productivity tools']",[],2 To 4 Years,"['Analysis', 'Commerce', 'Finance', 'Data Analysis', 'Financial Analysis', 'Financial', 'Treasury', 'Reporting', 'Financial Modeling', 'analytical']"
23,Business Analyst,GCSSD,"Heliopolis, Cairo",Full Time,Experienced (Non-Manager),"['5+ years of System Analysis / writing system requirements. 2+ years experience in Data Warehouse and ERP projects is preferable.', 'Excellent teamwork, communication, organization and interpersonal skills; detail oriented.', 'Ability to handle multiple planned and unplanned project tasks, roles and responsibilities.', 'Skilled and proficient in requirements definition, process integration, and solutions delivery.', 'Skilled and proficient in all aspects of Requirements Management and Testing.', 'Strong knowledge of Systems Development Lifecycles (SDLC), change management and business processes.', 'Knowledge of information technologies including a high-end (general) technical knowledge of hardware, software, databases and database technology.', 'Proven ability to handle multiple assignments, tight timelines and manage through project obstacles to consistently deliver results.', 'Excellent oral and written communication skills.']","['Responsible for reviewing the scope of user requested business requirements to implement solutions that will support business objectives.', 'Work directly with the business in partnership with development teams. This position is responsible for interpreting requirements into technical specification documents, supporting data / reporting architects who define and detail a business solution, and supporting application developers who code and test the applications.', 'This position is also responsible for Managing small to medium sized initiatives to ensure that the project meets the Time, Scope, Budget, Benefit and Quality. \n ', 'This is a top-level business analyst and is assigned some of the most complex systems and projects.', 'Responsible for managing the implementation of assigned system projects.', 'Applies specific knowledge of the business and knowledge of systems technology capabilities to business problem solving.', 'Participates in the design, installation and maintenance of complex system projects.', 'Ability to intuitively assess the impact of issues and escalate issues as and when necessary.', 'Manage scope and requirements throughout the project lifecycle.', 'Conduct JAD Sessions with Subject Matter Experts to identify all system requirements.', 'Complete System Design documents based on the information gathered at the JAD Sessions with the business and developers.', 'Conducting walkthroughs of all completed design documents with the team to make sure the documentation is complete and development estimates are accurate.', 'Serving as the main liaison between business users and development staff to ensure that all requirements are met on schedule; communicating business requirement changes to the business users.', 'Completing and distributing documentation in a timely manner so that everyone is kept up-to-date on status and any issues that need to be resolved.', 'Clearly communicate business and technical issues and expectations to business, and IT.', 'Maintain Plan, Issues Log, schedule weekly technical meetings with development team etc when managing small / medium projects independently.']",More Than 5 Years,"['System Analysis', 'Writing System', 'ERP', 'Data Warehouse', 'SDLC', 'Information Technology (IT)', 'Business Analysis', 'Analysis', 'Computer Science', 'Business', 'Software', 'Communication Skills', 'Development', 'Testing', 'Data']"
24,Financial Data Analyst,Zewail City,"6th of October, Giza",Full Time,Experienced (Non-Manager),"['BS degree in Finance, Economics, or a related field', 'Proficiency with MS Excel skills.', 'Solid Understanding of business intelligence and data visualization tools (Power BI, Tableau, etc.)', 'Relevant certification such as FMVA will be preferred.', 'Proven knowledge of financial forecasting and diagnosis, corporate finance, and information analysis', 'Outstanding presentation, reporting and communication skills']","['Assist and prepare a budget based on the performance, estimated revenue, expense reports, and past budget analysis.', 'Review operating budgets periodically to analyze trends affecting budget needs.', 'Reviews expenditures of departments to ensure compliance with budget.', 'Consult with his manager to ensure adjustments are made in accordance with plan changes in order to facilitate both short & long-term planning.', 'generate statistical data for presentation in miscellaneous budget reports', 'In-depth understanding of accounting standards and financial accounting statements']",2 To 3 Years,"['Accounting', 'Analysis', 'business', 'Economics', 'Data', 'Finance', 'Financial', 'Financial Analysis', 'Reporting', 'Tableau', 'Forecasting']"
25,Business Analyst,United Delta Systems,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['Previous experience in Business / Systems Analysis', 'A degree in IT / Computer Science', 'Proven experience in eliciting requirements and testing', 'Experience in analyzing data to draw business-relevant conclusions and in data visualization techniques and tools', 'Basic knowledge in generating process documentation', 'Strong written and verbal communication skills including technical writing skills']","['Define configuration specifications and business analysis requirements', 'Perform quality assurance', 'Define reporting and alerting requirements', 'Own and develop relationship with partners, working with them to optimize and enhance our integration', 'Help design, document and maintain system processes', 'Report on common sources of technical issues or questions and make recommendations to product team', 'Communicate key insights and findings to product team', 'Constantly be on the lookout for ways to improve monitoring, discover issues and deliver better value to the customer']",2 To 4 Years,"['Analyzing data', 'Business Analysis', 'IT', 'Information Technology (IT)', 'Communication skills', 'Analysis', 'business']"
26,Sales Data Analytics Specialist,Merck Sharp & Dohme Corp,"Dubai, United Arab Emirates",Full Time,Not Specified,[],"['Generate and publish to the organization all the regular reporting related to sales and competitor data, through the update of the data in the available dashboards and reports', 'Continuously review and maintain the accuracy of the data used for the dashboards & reports and support on the data quality remediation activities', 'Support cross functional processes, initiatives and requests related to forecast, target setting, performance & Sales Incentive Plan and business reviews', 'Develop and roll out innovative and insightful data visualizations in the Data Analytics platform related to sales, forecast, competitor, performance and business reviews', 'Collaborate with the business teams to continuously identify and integrate new requirements, new analysis or new data sources that would help address business priorities', 'Automate the publication and communication of reports through the dedicated module of the Data Analytics platform', 'Drive the automation and the improvement of the frequency of the data sources', 'Support on the change management initiatives with the users across the organization: onboarding & training, preparing dedicated content, sending communications on a regular basis', 'Experience of Data Analytics tools and in creating visualizations and dashboards', 'Experience in data modeling', 'Experience in programming', 'Experience of interacting with diverse business functions of an organization', 'Excellent business acumen, with proven ability to understand and translate business needs and expectations into requirements and technical solutions', 'Strong project management methodology, time management and organizational skills to be able to manage several projects in parallel', 'Collaborative and team player', 'Strong analytical mindset', 'Making things happen, facilitator', 'Proactive & striving for excellence', 'Efficient reporting capability', 'Motivated by a challenging task, challenges the status quo']",Not Specified,"['SQL', 'Sales', 'Sales Skills', 'Indoor Sales', 'Outdoor Sales', 'Analysis', 'Computer Science', 'Data Analysis', 'Economics', 'Information Technology', 'Information Technology (IT)', 'AWS', 'Analyst', 'Analytic Specialisit', 'BI', 'Collections', 'Computer Engineering', 'Data Analytics', 'Data Integration', 'Data Model']"
27,Senior Financial Analyst,Wadi Group,"Sheikh Zayed, Giza",Full Time,Experienced (Non-Manager),"['Proven work experience as a Senior Financial Analyst, Financial Analyst or similar role', 'Hands-on experience with financial and statistical software', 'Expertise in MS Excel (creating spreadsheets and using advanced formulas)', 'Familiarity with finance databases', 'Understanding of Enterprise Resource Planning systems (ERP)', 'Up-to-date with accounting laws and regulations', 'Excellent analytical skills', 'Ability to present financial data using detailed reports and charts', 'Demonstrable strategic thinking skills', 'Confidentiality in handling sensitive financial information', 'BS degree in Finance, Accounting or Economics', 'Relevant certification (e.g. CFA/CPA) is a plus']",[],3 To 6 Years,"['analytical', 'Analyst', 'Accounting', 'ERP', 'excel', 'Finance', 'Financial', 'Financial Analysis', 'Financial Management', 'Planning']"
