,Job Title,company,Location,Employment Type,level,requirement,description,Experience Needed,skills
10,Junior ASP.NET Web Developer 23006,Ditech Egypt,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['.NET 3.5/4.0 Framework, including', 'ASP.NET Core.', 'MVC and WCF Web Services', 'HTML, Javascript, CSS, jQuery, Angular and React.', 'AJAX and DEVEXPRESS toolkit.', 'Proficiency with Microsoft SQL Server in designing and optimizing databases.', 'Proficiency with ORACLE is a plus', 'Mobile application is a Plus', 'Experience in developing high performance and scalable web applications with large databases.', 'Strong experience designing and working with n-tier architectures (UI, Business Logic Layer).', 'Proficiency with smart card and System Integration is preferred', 'Strong problem-solving capability.']","['Designing and development of software platforms products components using Microsoft technologies.', 'Analyze business issues and technical problems independently, and come up with smart, logical solutions.', 'Participate in product releases through requirement reviews, development, deployment, setting up environments, documenting release notes and technical details regarding functionality and configuration.', 'Ensure quality of developed code. Review test plans with QA & drive the code reviews within the team.']",4 To 6 Years,"['C#', 'ASP.NET', 'SQL', '.NET', 'MVC', 'Angular', 'Computer Science', 'Information Technology (IT)', 'Microsoft SQL Server', 'CSS', 'HTML', 'jQuery', 'ADO.NET', 'Software Development', 'JavaScript']"
11,Senior Web Developer .NET Core,Smartly,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),[],[],3 To 20 Years,"['ASP.NET Core', 'Microsoft SQL Server', 'Angular']"
12,Web Development .NET Tech Lead,Seoudi Supermarket,"Sheikh Zayed, Giza",Full Time,Experienced (Non-Manager),"['BS degree in Finance, Economics or related field.', 'Min of 5 - 7 years of experience in a similar position.', 'Previous experience in Business / Systems Analysis or Quality Assurance.', 'Proficient in spreadsheets, databases, MS Office and financial software applications.', 'Hands on experience with statistical analysis and statistical packages.', 'Outstanding presentation, reporting and communication skills.', 'Proven knowledge of financial forecasting and diagnosis, corporate finance and information analysis.', 'Analytical mind with business acumen.']",[],5 To 7 Years,"['Analysis', 'business', 'Communication skills', 'Computer Science', 'Information Technology (IT)', 'Quality Assurance', 'Software Development', 'MS Office', '.Net', 'MS', 'Software']"
13,UI UX Web Developer,GS,GEO Solutions,Full Time,Experienced (Non-Manager),"[""Bachelor's degree in digital design, graphic design, or a related field."", '4-7 yrs of proven experience in a professional digital design role.', 'Fluent in the essential UI (web development technologies, HTML, CSS, JavaScript, jQuery, Sass, Bootstrap).', 'Angular is preferred.', 'A portfolio of previous digital design work to showcase experience and creativity.', 'Solid knowledge of design software programs, such as Figma, Sketch and Adobe Creative Suite.', 'Ability to clearly present design ideas and concepts for campaigns and projects.', 'A team player with exceptional organizational and technical skills.']","['Gather and evaluate user requirements in collaboration with product managers and engineers.', 'Illustrate design ideas using storyboards, process flows and sitemaps.', 'Design graphic user interface elements, like menus, tabs and widgets', 'Develop UI mock-ups and prototypes that clearly illustrate how sites function and look like', 'Responsible for all front-end, mobile, and back-end UI/UX.', 'Create original graphic designs (e.g. images, sketches and tables)', 'Prepare and present rough drafts to internal teams and key stakeholders.', 'Identify and troubleshoot UX problems (e.g. responsiveness)', 'Adhere to style standards on fonts, colours and images.', 'Use Figma as the primary design tool to create and share design assets.']",4 To 7 Years,"['Bootstrap', 'Angular', 'HTML', 'Design', 'JavaScript', 'jQuery', 'UX', 'ui', 'Web Development', 'CSS', 'Information Technology (IT)', 'Computer Science']"
14,Dot Net Web Developer,Tidal,"Cairo, Egypt",Full Time,Entry Level (Junior Level / Fresh Grad),"['Bachelor Degree in Computer Sciences, Software Engineering', 'Proficiency in the database (MS SQL-MongoDB)', 'JavaScript (any library/framework)', 'Proficiency in REST-based APIs.', 'Good analytical skills', 'Expert coding ability in C#.', 'MUST be Experienced With git', 'Experience with ERP application development is a plus.', 'Experience working with DevExpress and Entity Framework.', 'Advanced with modern web technologies such as Bootstrap,', 'Strong knowledge of JavaScript and experience with third-party JavaScript libraries such as jQuery, Knockout, Angular, etc.', 'scratch', 'Experience solving scalability problems and understanding how to optimize code/APIs to handle an increase in users.', 'TDD, Unit, and integration testing experience', 'Proficient with agile/scrum development methodology', 'Excellent communication (written and verbal), analytical and interpersonal skills', 'Fluency in Arabic & English languages']","['Handle web-based systems', 'Work on Microsoft stack (C#, ASP.NET MVC,Netcore  T-SQL, Web API)', 'Develop from scratch in a .NET environment using ASP.NET MVC &Web API framework', 'Handle multiple tasks under tight deadlines', 'Analysis, design, and implementation of high-performance software applications, and must be able to formulate creative solutions to difficult problems.', 'Working with Entity Framework.', 'Response Web Design Background', 'Server Side development concepts']",More Than 2 Years,"['Development', 'Software Development', 'Computer Science', 'Information Technology (IT)', 'Program Development', 'ERP Applications', 'APIs', 'DevOps', 'JavaScript', 'MongoDB', 'MS SQL', 'REST', 'SQL', 'Full Stack', 'Net core -MVC-ASP', 'MVC', 'Software', 'Bootstrap', 'Agile', 'Angular', 'jQuery', 'AJAX', '.Net', 'Web API']"
15,Python Web Developer - Graduate Position,Holix,"Cairo, Egypt",Full Time,Entry Level (Junior Level / Fresh Grad),[],[],0 To 3 Years,"['Python', 'Software Development', 'Software', 'CSS', 'Web Development']"
16,Full-Stack Developer Focus on Security,Finding From Egy,"Smouha, Alexandria",Full Time,Experienced (Non-Manager),"[""Bachelor's degree in Computer Science or a related field."", '3+ years of experience as a full-stack developer with a strong focus on security.', 'Full experience in Linux server administration (e.g., Apache, Nginx, SSH, shell scripting), including security configuration and maintenance.', 'Proven experience in implementing and maintaining web security measures, including authentication, authorization, and encryption.', 'Strong understanding of web development technologies, including HTML, CSS, JavaScript, React, Node.js, Express.js, and security frameworks.', 'Experience with relational databases (e.g., MySQL, PostgreSQL) and securing them.', 'Excellent communication and collaboration skills.', 'Ability to work independently and as part of a team.', 'Passion for learning and staying up-to-date with new technologies, particularly in the field of security']","['Design, develop, and maintain web applications using modern technologies and best practices, emphasizing security considerations.', 'Build clean, maintainable, and scalable code, employing secure coding practices.', 'Deploy and manage applications on Linux servers, securing them according to industry best practices.', 'Implement and maintain Linux server security measures, including firewalls, intrusion detection systems, and vulnerability management.', 'Integrate security best practices into the development process, including threat modeling, secure coding practices, and vulnerability scanning.', 'Write secure and efficient code, proactively identifying and mitigating potential security vulnerabilities.', 'Collaborate with designers and product managers to understand user needs and translate them into functional and secure applications.', 'Participate in code reviews and knowledge sharing activities, promoting a culture of security within the team.', 'Stay up-to-date with the latest trends and technologies in web development and web security.']",3 To 6 Years,"['Linux', 'Mysql Database', 'PHP Web Development', 'Linux Operating System', 'Information Security', 'Bootstrap']"
17,Senior Full Stack Developer .Net + Angular,ICIS,"New Cairo, Cairo",Full Time,Experienced (Non-Manager),"['We are looking for a Mid-Level and Senior .NET Developer with experience in Angular 5+ and strong skills MVC in Cairo on a full-time working base, with traveling opportunities to our Saudi branch.', 'Bachelor of Computer Science Degree required', 'Experience in testing tools and frameworks like Jasmine, Protractor, or similar.', '3+ years’ experience with C#, ASP.NET MVC 5, ADO.NET, & Entity Framework.', 'Excellent understanding of OOP, n-tier architecture, and design patterns.', 'Good Knowledge in HTML5, CSS3, JavaScript, JQuery, AJAX, Type Script, JQuery.', 'Good Knowledge in Angular 5+ / Angularjs.', 'Experience with web service development including SOAP or RESTful web services', 'Good Knowledge in.Net 3.5, 4.0 and 4.5 is plus.', 'Good Knowledge of WCF / Web API is a plus.', 'Very Good knowledge in ORM and LINQ.', 'Knowledge of at least one of (Crystal reports, Open XML, and reporting services).', 'Knowledge in queues, multi-threading, parallelization, and distributed caching servers is a plus.', 'Experience in web-based systems architecture, service-based architecture.', 'Knowledge of VSTS / GIT or any other Version Control System.', 'Additional frameworks such as Vue or React or even Node.js are plus.', 'Fair knowledge of Oracle DB, ability to write Stored Procedures & read entity diagrams.', 'Ability to complete all phases of the software development life cycle including analysis, design, implementation, testing, and support', 'Excellent analytical, problem-solving/diagnostic skills.', 'Good work ethics, Team player, positive and self-motivated.', 'Strong Communication & Interpersonal skills.', 'Flexibility to travel when needed (mainly Saudi Arabia and could be other destinations if required, with travel allowance per-diem).']","['Translate the functional and technical requirements and specifications into application components.', 'Participate in the analysis & design of new functional requirements and systems.', 'Build application components using .NET Framework 4.5+, ASP.NET MVC 5+, Oracle DB, WCF Web Services/WCF Data Services, WWF, Angular 5+, JSON, XML, RESTful Services and MS SQL RDBMS', 'Develop the backend of the solution, including the service layer, business logic layer, and data access layer.', 'Develop the integration parts of the system in order to communicate with the internal and external systems using WCF.', 'Develop and write high-quality coding standards.', 'Assist and support other team members on multiple projects']",More Than 5 Years,"['Engineering', 'Computer Science', 'Information Technology (IT)', 'Oracle', 'SQL', 'Asp.Net', 'MVC', 'HTML5', 'CSS', 'AJAX', 'jQuery', 'javaScript', 'XML', 'AngularJS', 'ASP.NET', 'Web Development', 'Web Design', '.NET', 'Angularjs', 'Angular 6', 'HTML', 'JavaScript', 'CSS3', 'Wireframes', 'Visual Design', 'GIT', 'VSTS', 'C#']"
18,.NET WEB DEVELOPER (Web Forms),Informatique Education,"Cairo, Egypt",Full Time,Experienced (Non-Manager),[],"['Participate in requirements analysis.', 'Collaborate with internal teams to produce software design and architecture.', 'Write clean, scalable code using .NET programming languages.', 'Test and deploy applications and systems.', 'Revise, update, refactor and debug code.', 'Improve existing software.', 'Develop documentation throughout the software development life cycle (SDLC).', 'Serve as an expert on applications and provide technical support.']",2 To 7 Years,"['.Net', 'ADO.Net', 'ASP.Net', 'Computer Science', 'Information Technology (IT)', 'jQuery', 'JSON', 'OOP', 'Software Development', 'SQL', 'Web Development', 'ASP.NET Web Forms', 'c#']"
19,Senior ARC GIS Developer,qTech.,"Mansoura, Dakahlia",Full Time,Experienced (Non-Manager),"[""Bachelor's degree in Computer Science, Geographic Information Systems, or a related field"", 'Minimum of 3 years of hands-on experience in developing GIS applications using the ARC GIS platform, with a strong focus on the Dojo toolkit and Oracle database.', 'Proficiency in the ARC GIS software suite, including ARCMap, ARC Catalogue, and ARCGIS Server', 'Extensive experience and expertise in the Dojo toolkit for web application development, including creating dynamic user interfaces, widgets, and data visualisations.', 'Strong programming skills in languages such as Python, JavaScript, or C#', 'Experience with ARC GIS APIs and SDKs, such as ARCObjects, the ARC REST API, or the ARC GIS Runtime, and their integration with Dojo', 'Solid understanding of geospatial concepts, data formats (shapefile, GeoJSON, etc.), and coordinate systems.', 'Expertise in Oracle databases for geospatial data management, including data modelling, SQL queries, and spatial indexing.', 'Familiarity with web-based GIS technologies like Web Mapping APIs (Leaflet, OpenLayers) and web services (WMS, WFS).', 'Excellent problem-solving abilities and attention to detail.', 'Strong communication skills to effectively collaborate with team members and clients.']","['Develop GIS applications: design, code, test, debug, and deploy GIS applications using the ARC GIS platform, with a strong emphasis on utilising the Dojo toolkit for creating user interfaces and Oracle for data management.', 'Dojo integration: Integrate the Dojo toolkit with ARC GIS functionalities to develop interactive and visually appealing user interfaces for GIS applications.', 'Custom application development: Create custom tools, scripts, and workflows using Dojo to enhance GIS functionality and automate processes.', 'Geospatial analysis: Perform complex spatial analysis, geoprocessing tasks, and data modelling using ARC GIS tools and libraries while leveraging Dojo for visualisations and user interactions.', 'Data management with Oracle: Manage geospatial data in Oracle, including data acquisition, integration, transformation, and quality assurance, ensuring effective integration with ARC GIS.', 'Collaborate with stakeholders: work closely with clients, GIS analysts, and other team members to gather requirements, understand project objectives, and deliver solutions that meet business needs.', 'Documentation: Prepare technical documentation, including system specifications, user manuals, and test plans, specifically highlighting the Oracle integration aspects.', 'Troubleshooting and support: Investigate and resolve issues related to GIS applications, provide technical support, and perform system maintenance tasks with expertise in both ARC GIS, Dojo, and Oracle.', 'Stay updated with industry trends: Keep abreast of the latest GIS technologies, Dojo toolkit advancements, Oracle database capabilities, tools, and best practises, and evaluate their potential for implementation.']",More Than 3 Years,"['Information Technology (IT)', 'Web Development', 'GIS', 'Software Development', 'System Analysis', 'Web Design', 'Software Engineering', 'Computer Science', 'Programming', 'Computer Engineering', 'GIS Applications']"
20,Senior Front-End Developer,Youxel,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['Has the passion for working in web technologies', 'Motivated to combine the art of design with the art of programming', 'Has the ability to learn and work using the most recent technologies', 'Ability to write clean, documented, and reusable code', 'Clear understanding of OOP', 'Proficient understanding of web markup, including HTML5, CSS3', 'Proficient understanding of RWD techniques and frameworks (flex, grid system, ...)', 'Good understanding of CSS pre-processing platforms, like LESS', 'Proficient understanding of client-side scripting and JavaScript', 'Minimum of 3+ years experience in Angular7', 'Proficient understanding of cross-browser compatibility issues', 'Proficient understanding of code versioning tools, like TFS and GIT', 'Proficient understanding of browser testing and debugging', 'Good understanding of building hybrid applications', 'Good understanding of web API, and AJAX', 'NG2', 'NODEJS', 'Automation tools, like YEOMAN, GRUNTJS, BOWER']","['Develop new user-facing features', 'Optimize application for maximum speed and scalability', 'Collaborate with other team members']",More Than 4 Years,"['OOP', 'MV', 'HTML5', 'CSS3', 'RWD', 'CSS', 'javaScript', 'AngularJS', 'TFS', 'API', 'NG2', 'NODEJS', 'Computer Science', 'Front End', 'Web Development', 'AJAX', 'Computer Engineering', 'Information Technology (IT)', 'Front-End Development', 'Node.js', 'Git', 'LESS', 'Yeoman', 'Grunt', 'Bower', 'Software Development', 'Front-End']"
21,Senior UI Developer,qTech.,"Mansoura, Dakahlia",Full Time,Experienced (Non-Manager),"['More than 4 years of experience. ', 'Fluent in the essential UI (web development technologies, HTML, CSS, JavaScript, jQuery, Sass, Bootstrap).', 'Angular is preferred ', 'Familiarity with Adobe Photoshop.', 'Experience with Design Thinking Methodology.', 'Experience with Agile development methodology. ', 'Excellent troubleshooting skills including multi-browser compatibility issues.', 'Excellent communication.']","['Build interactive, responsive, flexible, and modern UI.', 'Ensure applying the technical specs of the UX designs .', 'Provide ongoing support to the website on development, staging, and production environments .', 'Participate in sprint planning and discussions.', ' Develop across multiple browsers, platforms, and devices, including smartphones and tablets.']",More Than 4 Years,"['UI', 'Information Technology (IT)', 'javaScript', 'jQuery', 'HTML', 'CSS', 'Angular', 'Bootstrap', 'Computer Science', 'Software Development', 'Web Development', 'SASS', 'Adobe Illustrator', 'Adobe Photoshop', 'Agile', 'Design', 'Software Engineering']"
22,Front-end Developer vue. Js,Awamer Alshabaka _اوامر الشبكه,"Mansoura, Dakahlia",Full Time,Entry Level (Junior Level / Fresh Grad),[],"['Designing and developing user interfaces using HTML, CSS, and JavaScript.', 'Creating and maintaining the visual elements of a website that visitors see when they interact with it, including graphics, layouts, colors, fonts, etc.', 'Implementing user interface design patterns and other software engineering practices to ensure that your code is well organized and easy to maintain in the future.', 'Reviewing design mockups and providing feedback to designers on the usability of the product.', 'Creating prototypes of new features that need to be built.', 'Writing code based on designs created by designers.', 'Creating cross-browser compatible websites that work well on mobile devices.', 'Working with back-end developers to ensure that data is stored correctly in databases.', 'Managing projects and tasks for multiple clients simultaneously.', 'Testing new features for bugs or defects to ensure that they work properly.']",1 To 2 Years,"['Bootstrap', 'Computer Science', 'CSS', 'Design', 'front-end', 'Git', 'HTML', 'Information Technology (IT)', 'JavaScript', 'Sass', 'Software Development', 'Web Design']"
23,React Frontend Developer,Geek Labs,"Maadi, Cairo",Full Time,Entry Level (Junior Level / Fresh Grad),"[""Bachelor's degree or equivalent in Computer Science preferred"", ""2+ years' experience in frontend development"", 'A portfolio of successfully completed projects', 'Excellent knowledge of HTML, CSS and JavaScript, and React Framework', 'Team player with a commitment to quality']","['Accurately translate user and business needs into functional frontend code', 'Developing high-quality frontend applications', 'Continuous application maintenance, testing, and debugging', 'Collaborating with team members to ensure successful integration', 'Optimizing application load times', 'Completing projects within the expected timeline', 'Creating custom websites and apps']",More Than 2 Years,"['React', 'React.js', 'CSS', 'Frontend', 'HTML', 'JavaScript', 'Computer Science', 'Software Development', 'Web Development', 'Frontend developer']"
24,Senior Full Stack Developer (.Net Core - MVC),Dynamicslink,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),"['Minimum 5-7 years experience in web development with at least 4 years experience in using ASP.net Core.', 'Strong knowledge of C#, JavaScript, SQL.', 'DevExpress controls is a plus.', 'Strong knowledge of HTML CSS, jQuery technologies, and web frameworks are a plus.', 'Experience with database creation and maintenance.', 'Strong knowledge of Object-Oriented Programming and Design Patterns.', 'Customer Oriented.', 'Attention to Detail and Deadline-Oriented individual.', 'Leading a team with at least 3 members for 3 years is a must.', 'Work Location: Nasr City, Cairo.', 'Working Hours: Two Days Off ""Friday & Saturday""', 'Flexible hours from 9 AM to 6 PM or 10 AM to 7 PM', 'Employment type: Full time', 'Starting Date: Immediately']","['Work with development teams and product managers to ideate software solutions.', 'Work with data scientists and analysts to improve the software.', 'Participating in the entire software development life cycle, debugging applications, and configuring existing systems.', 'Analyze system requirements and prioritize tasks.', 'Writing clean, testable code using .NET programming languages (C#, .NET Core, JS).', 'Test and debug various .NET applications.', 'Review and refactor code.', 'Document development and operational procedures.']",5 To 7 Years,"['.Net', 'ASP.Net', 'Computer Science', 'CSS', 'Information Technology (IT)', 'JavaScript', 'jQuery', 'Software Development', 'Programming', 'SQL', 'Web Development', 'HTML']"
