,Job Title,company,Location,Employment Type,level,requirement,description,Experience Needed,skills
10,Full Stack Developer (Junior/mid level) (.NET- angular/react),MiracleEgypt,"Hadayek Alahram, Giza",Full Time,Entry Level (Junior Level / Fresh Grad),"['Proven experience as a Full Stack Developer or similar role', 'Proven experience in .net core', 'Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, angular , react)', 'Excellent communication and teamwork skills', 'Great attention to detail', 'Organizational skills', 'An analytical mind', 'ITI grads prefereable ']","['Work with development teams and product managers to ideate software solutions', 'Design client-side and server-side architecture', 'Build the front-end of applications through appealing visual design', 'Develop and manage well-functioning databases and applications', 'Write effective APIs', 'Test software to ensure responsiveness and efficiency', 'Troubleshoot, debug and upgrade software', 'Create security and data protection settings', 'Build features and applications with a mobile responsive design', 'Write technical documentation', 'Work with data scientists and analysts to improve software']",1 To 4 Years,"['Full Stack', 'Full Stack Developer', 'front-end', 'developer', 'Computer Science', 'Information Technology (IT)', 'Software Development', 'React', 'JavaScript', 'HTML', 'Angular', 'CSS']"
11,Full Stack web developer (Laravel + Vue.js)- Remotely,Alexandria For Programming,"Riyadh, Saudi Arabia",Full Time,Experienced (Non-Manager),"[""Bachelor's degree in Computer Engineering, Computer Science, or any related subject."", 'Preferred to have more than 3 years of experience in PHP & vue.js', 'Must-Have Experience with MVC frameworks preferably “Laravel”.', 'Must have experience using commercial and social APIs and SDKs.', 'Strong working experience with Object-Oriented Programming and template systems.', 'Good understanding of security issues and accessibility issues.', 'Must be at least very good in the English language “Read & Write”.']","['Lead development team developers (web & flutter mobile) to achieve project goals.', 'Prepare low-level designs for team members, in collaboration with Solution/Software Architect.', 'Guides project teams on technology strategy related to coding practices, continuous integration, and automated deployment.', 'Problem-solving and planning for a software solution.', 'Be hands-on and engage in coding to help the team to develop its solution and solve all surfacing problems at hand Identifies and removes technical impediments.', 'Works with the Product Owner to align the roadmap with strengths and opportunities within the technical stack.', 'Troubleshoot, test, and maintain the core product software and databases to ensure strong optimization and functionality', 'Write clean and well-designed code.', 'Produce detailed specifications.', 'Accept newly added features from different vendors', 'Troubleshoot, test, and maintain the core product software and databases to ensure strong optimization and functionality.', 'Contribute to all phases of the development lifecycle.', 'Focus on work ethics, continuous learning, and desire to deliver the best inspires your team members.', 'Follow industry best practices.', 'Develop and deploy new features to facilitate related procedures and tools if necessary']",3 To 14 Years,"['Computer Engineering', 'APIs', 'Computer Science', 'English', 'Frameworks', 'Information Technology (IT)', 'Laravel', 'PHP', 'Programming', 'MVC', 'SDKs', 'Engineering', 'Communication', 'Software Development']"
12,Full stack developer [c# .net core],Confidential Company,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['Experience: 2+ years', 'Smart worker, fast learner', 'Good communication skills', 'Enjoying the teamwork & the coding', 'Good internet speed in your place']","['Perform .Net Core Development', 'Perform JavaScript support and updates', 'Experience with C#, ASP.Net , entity-framework']",2 To 5 Years,"['ASP.NET', 'Microsoft SQL Server', 'C#', 'Information Technology (IT)', 'Computer Science', 'Software Engineering', 'SQL', 'MVC', '.NET', 'MS SQL Server', 'ASP', 'ASP.NET MVC', 'ASP.NET MVC,', 'Software Development']"
13,Senior Full Stack Developer,Horizon Agency,"New Cairo, Cairo",Full Time,Experienced (Non-Manager),"[""Bachelor's degree in Computer Science, Information Technology, or a related field (or equivalent experience)."", '+5 years of experience as a Full Stack Developer', 'Proficiency in front-end technologies such as HTML, CSS, and JavaScript, and experience with popular frameworks (e.g., React, Angular, Vue).', 'Strong back-end development skills using languages like Node.js, or PHP.', 'Experience with WordPress development, including theme and plugin development.', 'Database experience with SQL and NoSQL databases (e.g., MySQL, MongoDB, PostgreSQL).', 'Experience with version control systems (e.g., Git) and DevOps practices.', 'Knowledge of RESTful API design and integration.', 'Understanding of web security best practices.', 'Excellent problem-solving skills and attention to detail.', 'Effective communication and teamwork skills.', 'Portfolio of relevant projects and code samples.']","[""Bachelor's degree in Computer Science, Information Technology, or a related field (or equivalent experience)."", '+7 years of experience as a Full Stack Developer', 'Proficiency in front-end technologies such as HTML, CSS, and JavaScript, and experience with popular frameworks (e.g., React, Angular, Vue). ', 'Strong back-end development skills using languages like Node.js, or PHP.', 'Experience with WordPress development, including theme and plugin development.', 'Database experience with SQL and NoSQL databases (e.g., MySQL, MongoDB, PostgreSQL).', 'Experience with version control systems (e.g., Git) and DevOps practices.', 'Knowledge of RESTful API design and integration.', 'Understanding of web security best practices.', 'Excellent problem-solving skills and attention to detail.', 'Effective communication and teamwork skills.', 'Portfolio of relevant projects and code samples.']",More Than 5 Years,"['Full Stack', 'PHP', 'HTML', 'CSS', 'JavaScript', 'Software Development', 'Information Technology (IT)', 'MySQL', 'Computer Science', 'Angular', 'SQL', 'Git']"
14,Freelance Full Stack Developer - Immediate joiner,Brixio,"Dubai, United Arab Emirates",Full Time,Not Specified,[],"['Develop and maintain server-side applications using Node.js.', 'Use Typescript as the primary programming language.', 'Create responsive and user-friendly web interfaces with React.js for the frontend.', 'Develop mobile applications using React Native.', 'Collaborate with cross-functional teams to gather project requirements and design innovative solutions.', 'Debug and troubleshoot software issues to ensure optimal performance.', 'Ensure code quality through testing and code reviews.', 'Stay updated with the latest industry trends and technologies.']",Not Specified,"['Information Technology (IT)', 'Computer Science', 'Software Development', 'javaScript', 'CSS', 'HTML', 'Full Stack', 'Software Engineering', 'PHP', 'Angular', 'jQuery', 'SQL', 'MySQL', 'MVC', 'Web Development', '.NET', 'Computer Engineering', 'HTML5', 'Git', 'React']"
15,Full Stack Developer,StoreUs,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['Proven experience as a full stack developer or similar role', 'Experience developing for desktop and mobile applications environments', 'Familiarity with common stacks', 'Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)', 'Knowledge of multiple back-end languages (e.g. PHP (including PHP-PEAR), Javascript, Python, Java)', 'Experience with Symfony, Laravel frameworks (important skills)', 'Familiarity with databases (e.g. MySQL, Postgresql MongoDB), web servers (e.g. Nginx, Apache) and some UI/UX design', 'Excellent communication and teamwork skills. Proficiency in both Arabic and English language required.', 'Great attention to detail', 'Organizational skills', 'An analytical mind']","['Hands-on experience in development and maintenance robust mobile applications for large commercial organizations, across all supported devices', 'Sound enterprise application architecture experience', 'Experience with CI/CD and exposure to testing automation', 'Experience with Integration to backend services', 'Familiar with JSON and REST based APIs', 'Provide expertise on latest tools and technologies that will be best fit for the platform and be involved in refactoring / upgrade process', 'Provide technical expertise on how to enhance the platform for best user experience', 'Contributor on choice of tooling, architectural and design models, advocate for engineering best practices', 'Curiosity and passion', 'Attention to detail', 'Creative and able to participate in working with our IT and marketing team to develop solutions.', 'An expert with modern development practices']",3 To 5 Years,"['Full Stack', 'Information Technology (IT)', 'HTML', 'JavaScript', 'MySQL', 'PHP', 'Software Development', 'jQuery', 'CSS', 'Python']"
16,Full Stack Developer,TTC Technologies,"Heliopolis, Cairo",Full Time,Experienced (Non-Manager),"['Bachelor in Computer engineering, or computer science ', '+5 years of experience', 'As a Full Stack Developer, you should be comfortable around both front-end and back-end coding languages, development frameworks, and third-party libraries. ', 'You should also be a team player with a knack for visual design and utility. ', 'Participating in the design and creation of scalable software.', ' Writing clean, functional code on the front- and back-end. ', 'Testing and fixing bugs or other coding issues with excellent communication and teamwork skills. ', 'Great attention to detail, organizational skills, and analytical mind.', 'Proven experience as a Full Stack Developer', ' Proven experience in the back-end programming language (ASP.net, ASP core)', 'Familiarity with databases (MySQL or  PostgreSQL or MS SQL), ', 'Familiarity web servers (Apache)', 'Proven experience in the front-end languages and libraries ( HTML/ CSS, JavaScript, XML, jQuery)', 'Working with hardware (e.g., communication devices, cameras, …)', 'back-end programming language (e.g.#, PHP, Python)', 'Familiarity with databases (e.g., MongoDB), web servers (e.g. Nginx)', 'Proven experience in front-end languages and libraries (e.g., react, angular)', 'Knowledge of GIS ', 'Web development framework  (e.g. laminas)', 'Experience developing desktop or mobile applications']","['We are looking for a Full Stack Developer to produce scalable web applications solutions you’ll be part of a cross-functional team that’s responsible for the full software development life cycle, from conception to deployment.', 'Work with development teams and product managers to ideate software solutions', 'Design client-side and server-side architecture', 'Write technical documentation', 'Build the front-end of applications through appealing visual design', 'Develop and manage well-functioning databases and applications', 'Work with data scientists and analysts to improve software', 'Design and implement database', 'Design test plan, and write test cases', 'Test software to ensure responsiveness and efficiency', 'Troubleshoot, debug and upgrade software', 'Design and construction of our REST API', 'Working on site, under pressure.']",3 To 6 Years,"['Full Stack', 'Software Development', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Software', 'javaScript', 'PHP', 'Angular', 'React', 'HTML', 'CSS']"
17,Senior .NET Full Stack Developer (.NET Core & Angular),Lumin,"Sheikh Zayed, Giza",Full Time,Experienced (Non-Manager),"['Proven experience “4 years minimum” as a Full Stack Developer.', 'Proficiency with fundamental front end languages such as HTML, CSS and JavaScript.', 'Knowledge of multiple back-end languages (e.g. C#, .NET core, Java, Python) and JavaScript frameworks (e.g. Angular) with professionalism in C# is a MUST.', 'Experience with Microservices is a MUST.', '2+ years of experience working in an Agile environment is a MUST.', 'Familiarity with database technology such as MS SQL, MySQL, Oracle and MongoDB.', 'Familiarity with web servers (e.g. IIS , Apache) and UI/UX design.', 'Excellent communication and teamwork skills', 'Great attention to detail', 'Organizational skills', 'An analytical mind']","['We are looking for a Senior Full Stack Developer to produce scalable software solutions. You’ll be part of a cross-functional team that’s responsible for the full software development life cycle, from conception to deployment.', 'Design client-side and server-side architecture', 'Build the front-end of applications through appealing visual design', 'Develop and manage well-functioning databases and applications', 'Write effective APIs', 'Test software to ensure responsiveness and efficiency', 'Troubleshoot, debug and upgrade software', 'Create security and data protection settings', 'Build features and applications with a mobile responsive design', 'Write technical documentation']",More Than 4 Years,"['ASP.NET', 'ADO.NET', 'C#.Net', '.NET', '.NEt Full Stack Developer', 'Full Stack Developer', 'java', 'Python', 'HTML', 'react', 'Node.js', 'MS SQL', 'MongoDB', 'UI/UX design', 'Angular', 'Full Stack', 'Computer Science', 'Apache', 'UI', 'UX', 'MySQL', 'Oracle', 'CSS', 'JavaScript', 'Java', 'C#', 'React', 'Software Development', 'Software Engineering', 'Software', 'Information Technology (IT)', 'SQL']"
18,"Full time Senior ASP Net Core, Blazor Full Stack Developer",Sinmar Soft,"New Nozha, Cairo",Full Time,Experienced (Non-Manager),"['Proven experience as a Full Stack Developer or similar role', 'Experience developing Web and mobile applications', 'Familiarity with common stacks', 'Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)', 'Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js)', 'Familiarity with databases MSSQL', 'Excellent communication and teamwork skills', 'Great attention to detail', 'Organizational skills', 'An analytical mind', 'Degree in Computer Science, Statistics or relevant field']","['Work with development teams and product managers to ideate software solutions', 'Design client-side and server-side architecture', 'Build the front-end of applications through appealing visual design', 'Develop and manage well-functioning databases and applications', 'Write effective APIs', 'Test software to ensure responsiveness and efficiency', 'Troubleshoot, debug and upgrade software', 'Create security and data protection settings', 'Build features and applications with a mobile responsive design', 'Write technical documentation', 'Work with data scientists and analysts to improve software', 'Full time Job ']",3 To 10 Years,"['blazor', 'MVC', 'ASP.NET Core', 'c#.net', 'ASP.net MVC 5']"
19,Full Stack Developer,NVSSoft,"Cairo, Egypt",Full Time,Experienced (Non-Manager),[],"['Work with development teams and product managers to ideate software solutions', 'Design client-side and server-side architecture', 'Build the front-end of applications through appealing visual design', 'Develop and manage well-functioning databases and applications', 'Write effective APIs', 'Test software to ensure responsiveness and efficiency', 'Troubleshoot, debug and upgrade software', 'Create security and data protection settings', 'Build features and applications with a mobile responsive design', 'Write technical documentation', 'Work with data scientists and analysts to improve software']",4 To 8 Years,"['.Net', 'Computer Science', 'jQuery', 'HTML5', 'CSS', 'JavaScript']"
20,Full Stack Developer (.NET),Tamweely,"Shubra, Cairo",Full Time,Experienced (Non-Manager),"['Bachelor’s degree in computer science or a related. ', 'Strong .NET technologies including (C#, ASP.NET MVC, OOP, ASP.NET Core, Entity Framework, LINQ, Restful WebApi, Angular 10+, SQL Server, HTML5, JavaScript, CSS, AJAX , jQuery , Bootstrap , Typescript , JSON ). ', 'web development, design patterns and architectural patterns and practice. Such as memory management and low-level algorithm performance. ', 'Good experience working with n-tier architectures and onion architecture, along with some experience with service-oriented architectures (SOA). ', 'Familiarity with Crystal Reports, RDLC Report & SQL Server. ', 'Experience knowledge in working with TFS and Git.', 'Experience in Agile Development', 'Good communications skills ']","['Participating with other team members to design user-friendly interfaces; develop high-quality, object-oriented business objects; and conduct research of technologies and techniques.', 'Collaborating with other team members and assisting with code reviews.', 'Complete projects/tasks on a timely basis, according to commitments made to stakeholders and management.', 'Develop system test plans, ensuring achievement of software quality assurance (SQA) standards, and that validate achievement of business goals.', 'Develop the back end & front-end structure and design the required APIs.', 'Writing clean code', 'Write clear technical documentation.']",3 To 5 Years,"['Software Development', 'Computer Science', 'Information Technology (IT)', 'javaScript', 'CSS', 'Angular', 'SQL', 'jQuery', '.NET', 'Git', 'MVC', 'HTML5', 'TFS', 'Crystal Reports', 'RDLC Report', 'JSON', 'Angular 4', 'AJAX', 'Bootstrap', 'LINQ', 'C#', 'Web Development']"
