,Job Title,company,Location,Employment Type,level,requirement,description,Experience Needed,skills
10,Back End Lead - .Net + Python OR Node,Confidential Company,"Cairo, Egypt",Full Time,Manager,"['· 5 relevant years of experience in .Net, Node or Python.\n\n· Demonstrated capabilities in software development, architecture design and (Agile) project management\n\n· Experience with Node, Python, Design Patterns and OOP\n\n· Experience with REST and API services, HTTP Status Codes, Content Negotiation, API versioning, and Caching\n\n· Experience with MySQL, and/or SQLServer, MongoDB\n\n· Experience with Unit testing and TDD\n\n· Bachelor’s degree in computer science, engineering or any related majors is required\n\n· Supervising team members']",[],4 To 10 Years,"['Agile', 'API', 'MongoDB', 'MySQL', 'Python', 'Software', '.Net', 'dot net', 'Software Engineering', 'Information Technology (IT)', 'Computer Science', 'Software Development', 'OOP', 'Node.js']"
11,Laravel Developer,Awamer Alshabaka _اوامر الشبكه,"Mansoura, Dakahlia",Full Time,Entry Level (Junior Level / Fresh Grad),"[""Preferred Bachelor's Degree in Computer Science, Computer Engineering."", 'Minimum one year of experience with PHP Laravel Framework.', 'Experience with designing and implementing APIs.', 'A good understanding of the product development process.', 'A good understanding and experience with MySQL database systems.', 'Basic knowledge of front-end technologies like JavaScript, HTML, and CSS.', 'Solid understanding of engineering methodologies, ideally having worked as a software.', 'You can troubleshoot problems in the team and for users.', ""You're analytical and have good time management skills."", 'You have a passion for learning and improving your back-end skills.', ""You're curious about new technologies and you're excited to find ways to implement them in your work."", 'You have great problem-solving skills.']","['Write high quality, performant and reliable code.', 'Work independently, deliver results end to end.', 'Be a team player and work closely with other teams to efficiently drive team progress and ensure that projects align with strategic and tactical objectives.', 'Design and build highly scalable systems.']",1 To 3 Years,"['back-end', 'Computer Engineering', 'Computer Science', 'CSS', 'Engineering', 'HTML', 'Information Technology (IT)', 'JavaScript', 'Laravel', 'MySQL', 'PHP', 'Software']"
12,Sennior Python Django Backend Developer,Your Parts,"Maadi, Cairo",Full Time,Experienced (Non-Manager),"['Expert in Python, with knowledge of Django Web Framework', 'Working knowledge of SQL languages and ORMs', 'Very strong understanding of building RESTful APIs', 'Bonus points for FastAPI framework experience(for microservices),', 'Worked with Django application deployment on AWS, Heroku, GCP\nplatforms.', 'Basic understanding of front-end technologies, such as JavaScript, HTML5,\nand CSS3', 'Understanding of accessibility and security compliance', 'Knowledge of user authentication and authorization between multiple\nsystems, servers, and environments', 'Familiarity with event-driven programming in Python', 'Able to create database schemas that represent and support business\nprocesses', 'Strong unit test and debugging skills']","['Writing reusable, testable, and efficient code', 'Design and implementation of low-latency, high-availability, and performance\nefficient applications', 'Integration of user-facing elements developed by front-end developers with server side logic', 'Implementation of security and data protection', 'Integration of data storage solutions']",4 To 6 Years,"['Python', 'Django', 'RESTful', 'FastAPI', 'Information Technology (IT)', 'Computer Science', 'javaScript', 'HTML5', 'SQL', 'Programming', 'AWS', 'Front-End', 'Debugging', 'Back-End Development', 'Software Development']"
13,Back Office Agent (complaints - Second line English account)Etisalat UAE,Etisalat Egypt,"Maadi, Cairo",Full Time,Entry Level (Junior Level / Fresh Grad),"[""Etisalat UAE is hiring immediately at   account (Ed Expert Desk account) \n\n( Complaints account / Second line) \n\n* #males_females #graduate  \n* English level (very good up to Excellent) b1+ \n* available age up to  32 \n\nBenefits:\n* salary 6300 (5300 net + 1000 kpi's)\n* COLA increase after 3 months 15%\n* social & medical, insurance \n* free vpn line \n* Fully paid training \n* chance to get promoting after 6 months *depending on your performance \n\nWorking conditions:\n* 8 hours, 1 hour break (rotational)\n*Max shift end at 8 pm \n* 5 working days and 2 days off (rotational)\n*location: Maadi""]",[],0 To 5 Years,"['Customer Care', 'Customer Service', 'Customer Support', 'Call Center', 'Customer Service Management', 'Customer Relations', 'Customer Satisfaction', 'Customer Retention', 'customer', 'Agent', 'representative', 'English', 'English speakers', 'English account', 'English Teaching', 'English Education', 'English Instructing', 'English Literature', 'Business English', 'English Translation', 'translators', 'Translation', 'Insurance', 'Medical', 'Microsoft Office', 'Training', 'backoffice', 'back office', 'Inbound Calls', 'Outbound', 'Computer Skills', 'Communication', 'handling']"
14,Senior Front End Developer,Confidential Company,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['Proven work experience as a Front-end developer', 'Experience with JavaScript, CSS and jQuery', 'BSc degree in Computer Science or relevant field']","['Use markup languages like HTML to create user-friendly web pages', 'Maintain and improve website', 'Optimize applications for maximum speed', 'Design mobile-based features', 'Collaborate with back-end developers and web designers to improve usability', 'Get feedback from, and build solutions for, users and customers', 'Write functional requirement documents and guides', 'Create quality mockups and prototypes', 'Help back-end developers with coding and troubleshooting', 'Ensure high quality graphic standards and brand consistency', 'Stay up-to-date on emerging technologies']",5 To 7 Years,"['Information Technology (IT)', 'front-end', 'Computer Science', 'Software Development']"
15,Front-end Developer vue. Js,Awamer Alshabaka _اوامر الشبكه,"Mansoura, Dakahlia",Full Time,Entry Level (Junior Level / Fresh Grad),[],"['Designing and developing user interfaces using HTML, CSS, and JavaScript.', 'Creating and maintaining the visual elements of a website that visitors see when they interact with it, including graphics, layouts, colors, fonts, etc.', 'Implementing user interface design patterns and other software engineering practices to ensure that your code is well organized and easy to maintain in the future.', 'Reviewing design mockups and providing feedback to designers on the usability of the product.', 'Creating prototypes of new features that need to be built.', 'Writing code based on designs created by designers.', 'Creating cross-browser compatible websites that work well on mobile devices.', 'Working with back-end developers to ensure that data is stored correctly in databases.', 'Managing projects and tasks for multiple clients simultaneously.', 'Testing new features for bugs or defects to ensure that they work properly.']",1 To 2 Years,"['Bootstrap', 'Computer Science', 'CSS', 'Design', 'front-end', 'Git', 'HTML', 'Information Technology (IT)', 'JavaScript', 'Sass', 'Software Development', 'Web Design']"
16,Call center Agent Back office English Account Etisalat UAE,Etisalat Egypt,"Maadi, Cairo",Full Time,Entry Level (Junior Level / Fresh Grad),"['University Graduates ', 'English level (very good up to Excellent)', 'available age up to 32']","[""salary 6300 (5300 net + 1000 kpi's)"", 'COLA increase after 3 months 15%', 'social & medical, insurance † free von line', 'Fully paid training', 'chance to get promoting after 6 months(depending to your performance)', '8 hours, 1 hour break (rotational)', 'Max shift end at 8 pm', '5 working days and 2 days off (rotational)', 'location: Maadi']",Not Specified,"['Call Center', 'Customer Care', 'Customer Service', 'Customer Support', 'Customer Relations', 'Customs Clearance', 'Customer Satisfaction', 'Customer Operations Performance Centre', 'Customer Service Management', 'Customer Retention', 'English Teaching', 'English Education', 'English Instructing', 'English Literature', 'Teaching English as a Foreign Language', 'Business Administration', 'Commerce', 'English', 'b2', 'Communication', 'Computer Skills']"
17,Junior Backend Developer,Zewail City,"6th of October, Giza",Full Time,Experienced (Non-Manager),"['Excellent experience with database maintenance, backup, recovery, and analysis.', 'Excellent experience using systems reporting tools and creating required queries and reports.', 'Very Good experience using SQL.', 'Good experience in HTML, and CSS.', 'Experience with systems administration and analysis is a plus.', 'Skilled at analyzing and troubleshooting software user problems.', 'Skilled at communicating technical information to non-technical end-users.', 'Eager to learn and apply new technologies.', 'Training others to use specialized software.', 'Experience working with faculty and students.', 'Good organizational and time-management skills.', 'Strong interpersonal skills and the ability to work in teams.', 'Excellent attention to detail.', 'Problem-solving mindset.:', 'A minimum of 2 years of technical experience in student information systems in general.']","['Manage and maintain the student information system (SIS), currently based on Power Campus. The position includes operating, maintaining, upgrading, and generating system reports to all related academic units such as the admission unit, the registrar unit, the finance department, and the academic programs, as well as the top management.', 'The position requires the creative use and development of tools for a better educational experience for both students and faculty. In addition, the position requires troubleshooting system issues, and training faculty on new tools and features on a one-to-one basis or as focus groups.', 'Manage, maintain, and administer the students information system (SIS); namely Power Campus', 'Identify problems, troubleshoot, and give solutions regarding the SIS.', 'Create customized SSRS reports as requested and make sure that they meet the business users’ requirements.', 'Provide solutions and assistance in mass data uploads to the SIS.', 'Manage users’ privileges on the SIS based on their tasks and responsibilities.', ""Monitor the system's usage and database health."", 'Conduct analysis on the system usage as well as data usage to provide accurate recommendations and solutions for enhanced workflow.']",2 To 3 Years,"['Computer Science', 'Cloud', 'Database', 'CSS', 'HTML', 'Information Technology (IT)', 'Oracle', 'Software', 'Software Development', 'SQL', 'Troubleshooting', 'Software Engineering', 'Back-End Development', 'backend developer']"
18,Front End Developer,MCV,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['Good Knowledge Angular 8+ & Angular CLI', 'familiarity with Restful API', 'good knowledge in web services', 'Good Experience in Angular Material, Bootstrap.', 'Excellence in modern JavaScript, HTML5 and jQuery.', 'Extensive knowledge of CSS and JS animations.', 'Good understanding of cross-browser compatibility issues', 'Integrate external web services.', 'Validating user input on the client side and implementing meaningful feedback.', 'Skill in designing a modern build process that integrates testing and continuous delivery.']","['With deep understanding of Angular best practices, frontend developer will create modules and components for the applications.', 'Take existing design and front-end templates and enhance them with CSS animations and implement idiomatic markup.', 'Team up with the back-end developers to connect to APIs using standard methods. A thorough understanding of the components of the platform is essential to build responsive design concepts', 'Create a reusable component and library for work', 'Interact and solve coding and troubleshooting doubts of back-end developers as per requirement.', 'Create, analyze and design technical solutions for front-end components.', 'Maintaining high performance and compatibility across platforms and devices.']",3 To 6 Years,"['Angular', 'Bootstrap', 'Computer Science', 'Software Development', 'Information Technology (IT)']"
19,Senior Front End Developer,SURE International Technology,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),"['Understand SDLC HTML &  JavaScript', 'Understand CSS structure TFS Source Control (Git & TFVC) Good understanding of Typescript language', 'Good understanding of Angular+ Structure and components life Cycle Able to Integrate with external Systems (RESTful APIs)', 'Handle APIs authentication from Angular', '3+ years of experience in previous skills']","['Use markup languages like HTML to create user-friendly web pages', 'Maintain and improve website', 'Optimize applications for maximum speed', 'Design mobile-based features', 'Collaborate with back-end developers and web designers to improve usability', 'Get feedback from, and build solutions for, users and customers', 'Write functional requirement documents and guides', 'Create quality mockups and prototypes', 'Help back-end developers with coding and troubleshooting', 'Ensure high quality graphic standards and brand consistency', 'Stay up-to-date on emerging technologies']",3 To 8 Years,"['Angular', 'front-end web development', 'Front-End Development', 'frontend']"
20,SR. Front end developer,egabi solutions,"Heliopolis, Cairo",Full Time,Experienced (Non-Manager),"['3+ years of experience with Angular', 'Strong understanding of HTML, CSS, and JavaScript', 'Experience with unit and integration testing', 'Excellent problem-solving and debugging skills', 'Ability to work independently and as part of a team', 'Strong communication and interpersonal skills']","['Develop and maintain Angular web applications', 'Work with back-end developers to integrate Angular applications with back-end services', 'Work with designers to create and implement user interfaces', 'Write unit and integration tests for Angular applications', 'Troubleshoot and debug Angular applications', 'Stay up-to-date on the latest Angular features and best practices', 'Experience with Angular Material', 'Experience with Angular testing frameworks', 'Experience with Angular routing', 'Experience with Angular animations', 'Experience with Angular forms', 'Experience with Angular internationalization']",3 To 6 Years,"['HTML', 'Software Development']"
21,Software Developer (front end),Confidential Company,"Heliopolis, Cairo",Full Time,Experienced (Non-Manager),"['3+ years of experience with Angular', 'Strong understanding of HTML, CSS, and JavaScript', 'Experience with unit and integration testing', 'Excellent problem-solving and debugging skills', 'Ability to work independently and as part of a team', 'Strong communication and interpersonal skills', 'Experience with Angular Material', 'Experience with Angular testing frameworks', 'Experience with Angular routing', 'Experience with Angular animations', 'Experience with Angular forms', 'Experience with Angular internationalization']","['Develop and maintain Angular web applications', 'Work with back-end developers to integrate Angular applications with back-end services', 'Work with designers to create and implement user interfaces', 'Write unit and integration tests for Angular applications', 'Troubleshoot and debug Angular applications', 'Stay up-to-date on the latest Angular features and best practices', 'Develop backend services using .Net Core.', 'Able to write Stored Procedures and write complex SQL queries.', 'Able to research, test and build using new products based on client requirements.']",1 To 5 Years,"['Information Technology (IT)', 'Software Development', 'Computer Science']"
22,Web Development and SEO Expert,INK DROP,"Dubai, United Arab Emirates",Full Time,Not Specified,[],[],Not Specified,"['AWS', 'Angular', 'Computer Science', 'Front-End', 'Information Technology (IT)', 'Laravel', 'Software Development', 'Software Engineering', 'Amazon Cloud', 'Amazon Travel', 'AngularJS', 'Back-End', 'Backend', 'Cake PHP', 'Codeigniter', 'Codeignitor', 'Docker', 'Elastic Search', 'Engineering', 'Frontend']"
23,Senior Front-End Developer,Confidential Company,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['+5 years of UI development experience', 'Knowledge of REST and web-based applications', 'Problem-solving skills to develop quick yet sound solutions to resolve complex issues', 'Extensive working experience building web applications', 'Experience with JavaScript libraries and frameworks such as Vuejs, React.js, ES5, and ES6, and knowledge of how to use and optimize them.', 'Good Knowledge of Front-end frameworks (bootstrap, foundation, etc.)', 'Basic understanding of CSS pre-processing platforms, such as LESS and SASS', 'Excellent Knowledge of CSS (3).', 'Excellent Knowledge of HTML (5).']","['Develop new user-facing features', 'Build reusable code and libraries for future use', 'Ensure the technical feasibility of UI/UX designs', 'Optimize application for maximum speed and scalability', 'Assure that all user input is validated before submitting it to the back-end', 'Collaborate with other team members and stakeholders', 'Optimize application for maximum speed and scalability', 'Coaching and mentoring team members']",More Than 5 Years,"['Bootstrap', 'Computer Science', 'front-end', 'HTML', 'Information Technology (IT)', 'CSS', 'JavaScript', 'Less', 'React', 'REST', 'Software Development', 'UI', 'sass', 'Vuejs', 'React.js', 'ES5']"
24,Front End Engineer (Angular/Ionic) High Growth Startup,Deal,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['Experience with JS, CSS and SASS, ionic 5+ and Capacitor.', 'Familiarity with Socket, Google maps', 'Familiarity with Git, CI/CD, JIRA is a plus', 'Familiarity with Angular Universal or other SSR solutions is a plus', 'Familiarity with advance caching and custom lazy loading mechanisms is a plus', 'Familiarity with auto update solutions (live update, appflow,…) is a plus']","['Implement a secure, well designed and responsive ionic web app that works on mobile and desktop.(PWA)', 'Build dynamic dashboards with custom tables and charts', 'Build and maintain updated libraries and abstractions and ensure user interface work well on all screen sizes, with cross-browser support.', 'Design Photoshop & illustrator files into HTML Pages', 'Create website layouts and user interface by using standard HTML/CSS/JS practices from designs/mockups', 'Assure that all user input is validated before submitting to back-end', 'Go through legacy code for existed projects to enhance and add more features.', 'Optimize application for maximum speed and scalability', 'Collaborate with other team members and stakeholders.', 'Ability to share constructive feedback with team members (pull requests reviews)']",More Than 2 Years,"['Front End', 'Information Technology (IT)', 'Software Development', 'HTML', 'CSS', 'JS', 'SASS', 'Computer Science', 'Ionic', 'Capacitor', 'Jira', 'javaScript', 'Angular', 'Git', 'Ionic Framework']"
25,System Software Architect,Spatium Software,"Assuit, Assiut",Full Time,Experienced (Non-Manager),"['Proven experience as software architect', 'Experience in software development and coding in various languages (C#, .NET, Java etc.)', 'Excellent knowledge of software and application design and architecture', 'Excellent knowledge of UML and other modeling methods', 'Familiarity with HTML/CSS, JavaScript and UI/UX design', 'Understanding of software quality assurance principles', 'A technical mindset with great attention to detail', 'High quality organizational and leadership skills', 'Outstanding communication and presentation abilities', 'MSc/MA in computer science, engineering or relevant field']","['Collaborate with other professionals to determine functional and non-functional requirements for new software or applications', 'Use tools and methodologies to create representations for functions and user interface of desired product', 'Develop high-level product specifications with attention to system integration and feasibility', 'Define all aspects of development from appropriate technology and workflow to coding standards', 'Communicate successfully all concepts and guidelines to development team', 'Oversee progress of development team to ensure consistency with initial design', 'Provide technical guidance and coaching to developers and engineers', 'Ensure software meets all requirements of quality, security, modifiability, extensibility etc.', 'Approve final product before launch']",More Than 7 Years,"['Computer Engineering', 'AWS', 'Computer Science', 'Software', 'Software Development', 'Information Technology (IT)', 'Software Engineering', 'Service-Oriented Architecture (SOA)', 'Microservice Architecture', 'Service-Oriented Architecture', 'Domain Driven Design', 'DDD', 'EDD', 'Software Architecture', 'Software Architect', '.Net', '.Net Framework', 'Microsoft .Net Framework', '.Net Development', 'Microsoft .NET', 'ASP.Net', 'ASP', 'ASP.NET Core', 'ASP.Net Web API', 'ASP.NET Web Forms', 'ASP.net MVC', 'ASP.net MVC 5', 'Aspect-Oriented Programming', 'ASP.NET Razor', 'Architecture', 'Architectural Design', 'Back-End Development', 'Full Stack Development', 'Design']"
