,Job Title,company,Location,Employment Type,level,requirement,description,Experience Needed,skills
10,Data Scientist - Section Head,IDH,"6th of October, Giza",Full Time,Experienced (Non-Manager),"['Proven experience as a Data Scientist or Data Analyst', 'Experience in data mining', 'Understanding of machine-learning and operations research', 'Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset', 'Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)', 'Analytical mind and business acumen', 'Strong math skills (e.g. statistics, algebra)', 'Problem-solving aptitude', 'Excellent communication and presentation skills', 'BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred']","['Analyse raw data: assessing quality, cleansing, structuring for downstream processing.', 'Design accurate and scalable prediction algorithms.', 'Bring analytical prototypes to production.\nGenerate actionable insights for business improvements.', 'Enable decision-makers to consider resolutions for better operations through analytical dashboards using challenging survey data, design, and analysis.', 'Construct machine learning models for predicting the most probable solutions to converge.', 'Enhance data collection procedures to include information that is relevant for building analytic systems.', 'Process, cleanse, and verify the integrity of data used for analysis.', 'Solve complex business problems with data; using data scientific tools to find solutions for challenges in the realm of both big and small data as well as distils large, ambitious, and ambiguous initiatives into concrete, actionable data science solutions.', 'Deliver data science products from idea to deployment.', 'Develop processes and tools to monitor and analyse model performance and data accuracy.']",5 To 8 Years,"['Data Science', 'data scientist', 'Computer Science', 'Python', 'SQL']"
11,AI Team Leader,Noases,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),"['At least 4 years of experience in data and analytics, preferably DS/AI', 'At least 1 year in a leadership role or similar position', 'Working with stakeholders on different seniority and maturity levels', 'Very good communication skills', 'Drive to understand business requirements', 'Ability to combine technical and business topics', 'Very good client skills', 'Extensive experience in the following roles: data scientist/AI engineer, delivery leader, project manager, and business analyst', 'Experience in people management, customer management, and project delivery (Project Management)', 'Strong, proven knowledge and experience in the following fields: Machine Learning, Data Science, Artificial Intelligence, ML Ops, solution operationalization, and DevOps', 'Presentation skills', 'High ambition, motivation, and passion to achieve things that no one had before', 'Very good command of English', 'Strong experience in the CPG industry', 'Knowledge and experience in BI, DWH, Cloud solutions, etc.']","['Delivery (and support of delivery by different teams within DS&AI CoE) Machine Learning / Data Science projects: advising on the architecture, best practices, concepts, etc. Making sure technical quality and excellence in architecture', 'Researching and preparing solutions for common DS/ML project problems, defining the guidelines for team members and the whole Center of Excellence', 'Be able to take on the project manager role when needed', 'Being up-to-date with DS and AI market trends', 'Responsibility for team of Data Scientists/AI Engineers, ML/AI Architects, and other roles helpful in implementing DS/AI initiatives', 'Being a role model for the team and promoting integrity and Lingaro core values on a daily basis', 'Being an architect of team members’ development, assessing the organization’s key talents', 'Staffing projects and other engagements', ""Building team atmosphere and ensuring member's wellbeing"", 'Developing DS&AI CoE business within the area', 'Offers and presentation preparation', 'Ensure team members profitability', 'Helping team members achieve high customer satisfaction on their tasks', 'Building and maintaining relations with customers (mostly through close cooperation during project acquisition, delivery and maintenance)']",4 Years,"['People Management', 'Project Management', 'Information Technology (IT)', 'Leadership', 'AI']"
12,Senior Computer Vision Engineer,Noases,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),[],[],4 Years,"['Computer Science', 'Development', 'Engineering', 'Information Technology (IT)', 'Design', 'Installation', 'Software', 'Programming', 'English']"
13,Visual Communicator,ECONSTRUCT DESIGN & BUILD Pvt Ltd.,"Cairo, Egypt",Full Time,Not Specified,[],"['Working closely with our Project Managers, Designers and Researchers, you will be working on:', 'Visuals that communicate clear ideas and concepts for multiple mediums such as, websites, brochures, presentations, illustrations & diagrams etc.', 'Strong and well-structured story flows for project case studies.', 'Assisting in assets for client pitches and other supporting presentations.', 'Contributing to team brainstorming sessions and providing innovative design ideas and solutions for visual assets and storytelling.', 'Provide well thought out solutions for challenging problems and the ability to back up design decisions with logical reasoning.', 'Staying updated with visual design trends, tools, and techniques to continuously improve visual design quality and efficiency.', 'Bachelor’s degree in Visual Communication or a related design field.', 'Foundational understanding of UI/UX.', 'Ability to develop dimensional illustrations.', 'Emphasis on prioritizing functionality over aesthetics in design thinking.', 'Ability to understand the key story and use visual hierarchy to elaborate.', 'Ability to ideate and iterate design concepts and solutions.', 'Excellent written and verbal communication skills in English.', 'Detail orientated.', 'Ability to work methodically and meet deadlines.', 'Design software: InDesign, Illustrator, Photoshop.', 'UI-UX software: Figma or equivalent.', 'Microsoft Software: PowerPoint, Word, Excel etc.', 'Bonus skills: 3D modeling software skills: Sketchup, Revit, or equivalent.']",Not Specified,"['Design', 'Communication', 'Communication Skills', 'Adobe Photoshop', 'Engineering', 'Graphic Design', 'Installation', 'Electrical Engineering', 'Electronics', 'Light Current', 'Marketing', 'Media', 'Social Media', 'Visual Communication', 'Adobe Illustrator', 'Audio Visual', 'CCTV', 'English', 'Information Technology (IT)', 'Web Design']"
14,Senior IOT Engineer,Noases,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),"['Experience in embedded system firmware and software development.', 'Good knowledge of IoT sensors and gateways, electronic product design, hardware testing, and troubleshooting.', 'Experience with IoT standards and communication protocols like MQTT, HTTPs, CoAP, etc.', 'Familiarity with M2M protocols like Modbus and client-server protocols like HTTP (REST/JSON) and Kafka.', 'Familiarity with industrial monitoring and control systems like SCADA, PLC, DCS, etc.', 'Understand the principles of TCP/IP and the Network Connection Principle of the Internet.', 'Familiar with various LAN networking.', 'Experience with communications channels such as WiFi, Zigbee, BLE, NB-IoT, Sigfox, LoRaWAN, etc.', 'Knowledge of communication protocols (I2C, SPI, UART, or other protocols) for system interface, programming, and debugging.', 'Familiar with wiring and interfacing protocols such as RS232, RS485, Ethernet, etc.', 'Experience in development boards, e.g., Arduino, Raspberry Pi, Edison, NodeMCU, etc.', 'Experience with MySQL and SQL knowledge is a plus', 'Knowledge of reading component data sheets and schematics.', 'Firm understanding of IoT architecture and principles.', 'Familiarity with big data and machine learning algorithms.', 'Strong analytical and reasoning skills.']","['Analyzing and understanding business and customer requirements for industrial IoT solutions.', 'Researching and shortlisting different IoT sensors and gateways for a target IoT solution.', 'Studying data sheets of different IoT sensors and gateways from different vendors and comparing them based on technology, certification, logistics, support, cost, and other constraints.', 'Interfacing different industrial IoT sensors with the company’s IoT platform.', 'Embedded C/Python/Node-RED programming for project development.', 'Designing platform solutions that are cloud-compatible and work with IoT applications', 'Sensor integration and firmware testing, debugging, documentation, and troubleshooting.', 'Ensure certifications and other regulatory compliance as per project requirements.', 'Work independently or in a group and take up project responsibilities.', 'Effectively communicate issues and request resolution from the IoT Solutions Team / CTO.']",3 To 5 Years,"['Information Technology (IT)', 'Software Development', 'MySQL', 'SQL', 'Software', 'Engineering']"
15,Senior IOT Engineer,Noases,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),"['Experience in embedded system firmware and software development.', 'Good knowledge of IoT sensors and gateways, electronic product design, hardware testing, and troubleshooting.', 'Experience with IoT standards and communication protocols like MQTT, HTTPs, CoAP, etc.', 'Familiarity with M2M protocols like Modbus and client-server protocols like HTTP (REST/JSON) and Kafka.', 'Familiarity with industrial monitoring and control systems like SCADA, PLC, DCS, etc.', 'Understand the principles of TCP/IP and the Network Connection Principle of the Internet.', 'Familiar with various LAN networking.', 'Experience with communications channels such as WiFi, Zigbee, BLE, NB-IoT, Sigfox, LoRaWAN, etc.', 'Knowledge of communication protocols (I2C, SPI, UART, or other protocols) for system interface, programming, and debugging.', 'Familiar with wiring and interfacing protocols such as RS232, RS485, Ethernet, etc.', 'Experience in development boards, e.g., Arduino, Raspberry Pi, Edison, NodeMCU, etc.', 'Experience with MySQL and SQL knowledge is a plus', 'Knowledge of reading component data sheets and schematics.', 'Firm understanding of IoT architecture and principles.', 'Familiarity with big data and machine learning algorithms.', 'Strong analytical and reasoning skills.']","['Analyzing and understanding business and customer requirements for industrial IoT solutions.', 'Researching and shortlisting different IoT sensors and gateways for a target IoT solution.', 'Studying data sheets of different IoT sensors and gateways from different vendors and comparing them based on technology, certification, logistics, support, cost, and other constraints.', 'Interfacing different industrial IoT sensors with the company’s IoT platform.', 'Embedded C/Python/Node-RED programming for project development.', 'Designing platform solutions that are cloud-compatible and work with IoT applications', 'Sensor integration and firmware testing, debugging, documentation, and troubleshooting.', 'Ensure certifications and other regulatory compliance as per project requirements.', 'Work independently or in a group and take up project responsibilities.', 'Effectively communicate issues and request resolution from the IoT Solutions Team / CTO.']",3 To 5 Years,"['Information Technology (IT)', 'Software Development', 'MySQL', 'SQL', 'Software', 'Engineering']"
16,Administrative Assistant,Tecnogroup,"Nasr City, Cairo",Full Time,Entry Level (Junior Level / Fresh Grad),"['Bachelor degree.', '0-2 years experience', 'Extremely proficient with Microsoft Office Suite or similar software with the ability to learn new or updated software.', 'Excellent command of English', 'Working knowledge of office equipment, like printers and fax machines.', 'Excellent time management skills and the ability to prioritize work.', 'Attention to detail and problem-solving skills.', 'Strong organizational skills with the ability to multi-task.', 'Excellent organizational and leadership skills.', 'Outstanding communication and interpersonal abilities']","['Coordinating office activities and operations to secure efficiency and compliance to company policies.', 'Handle all kinds of incoming correspondence and manage to distribute them internally.', 'Follow up all correspondence in case specific action shall take place (this includes phone queries both local and international, mails, e-mails, letters, faxes and all kinds of forms).', 'Closely follow up the deadlines for all correspondence.', 'Prepare communications, such as memos, emails, reports and other correspondence.', 'Create and maintain filing systems, both electronic and physical.', 'Work collaboratively with other departments to help solve clerical issues.', 'Conduct research, analysis as directed by department manager.', 'Submit timely reports and prepare presentations/proposals as assigned.', 'Create and update records and databases.', 'Assist colleagues whenever necessary.']",1 To 2 Years,"['Administration', 'Fresh Graduates', 'Communication', 'Admin', 'Microsoft Office', 'Time Management']"
17,Operational Excellence,Al Andalous Pharmaceutical Industries,"6th of October, Giza",Full Time,Experienced (Non-Manager),"[""Bachelor's Degree in any Relevant field."", 'Experience from 7:10 years & At Least 3 years in the same position.', 'Lean Certificate Holder is required.', 'Pharmaceutical or Manufacturing Experience is preferred.', '6th October and nearby residents are preferred.']","['Configuring manufacturing systems to reduce cost, improve efficiency and develop best practice within the production processes.', 'Defining and implementing process improvements on key initiatives that result in significant improvements in service delivery, increasing organizational effectiveness.', 'Provide leadership and direction to cross-functional teams empowered to execute the Lean Six Sigma Methodologies to processes capability improvement, productivity improvement and cost reduction.', 'Study machines stoppage causes during operation to decrease the frequency of machines break down.', 'Report on daily base waste figures per each material including reporting updates based on targets & operational KPIs.', 'Evaluate and monitoring all machinery and production lines performance using OEE calculation.', 'Deploy the Learning Modules of LEAN & Six Sigma across the designated site.', 'Demonstrate the knowledge of Lean & Six Sigma methodologies, principles and tools incorporated into daily work..', 'Direct and participate in organizational needs assessment, development of program plans, goals and objectives regarding LEAN & Six Sigma methodologies implementation.', 'Direct evaluation, update and revisions of project plans to meet project deadlines.', 'Managing Kaizen activities and coaching the team on Visual Boards, and other tools', 'Monitor and report progress of projects through established metrics for each project. .', 'Participate in budgeting and fiscal management of the LEAN & Six Sigma Projects.', 'Provide regular feedback orally or in writing to Leadership.', 'Participate as a member of the site leadership team and advise on LEAN & Six Sigma projects']",7 To 10 Years,"['LEAN', 'Manufacturing', 'Operations', 'Pharmaceutical', 'Computer Skills', 'Microsoft Excel']"
18,Mechanical Design Engineer,Mina Co. for Engineering,"Abu Rawash, Giza",Full Time,Experienced (Non-Manager),"[""Bachelor's degree in Mechatronics engineering, Mechanical engineering, or Industrial production engineering"", 'Good user of AutoCAD (2D), Cutting Optimizer, and Solidworks (sheet metal & configuration and equation).', 'Good command of the English and Arabic languages.', 'Ability to work under pressure', 'Good Microsoft Office', 'Creativity', 'Excellent problem-solving and analytical skills.', 'Experience in leadership and supervising a team is optional.']","['Designing and Modeling: The primary responsibility is to create 3D models and designs using SolidWorks software, specifically for sheet metal components and assemblies. This includes designing sheet metal and Aluminium profile assembly using variable equations in Solidworks and other sheet metal structures.', 'Sheet Metal Specific Features: Proficiency in utilizing SolidWorks Sheet Metal tools and features is crucial. The engineer must be able to create and modify sheet metal parts with features like bends, flanges, tabs, gussets, louvers, ribs, and other sheet metal-specific details.', 'Drafting and Documentation: Generating detailed engineering drawings, including views, dimensions, tolerances, and other necessary information, is essential. The engineer must create accurate documentation that complies with industry standards and can be used for manufacturing.', 'A basic understanding of AutoCAD', 'Research and analyze customer specifications and other data to evaluate the feasibility, cost, and maintenance requirements of designs or applications.', 'Making full workshop drawings of all Mina Co. products.', 'Reverse engineering of new products and machine spare parts.', 'Continuous Learning: Staying up to date with the latest SolidWorks features, industry trends, and advancements in sheet metal design and manufacturing processes. Actively seeking professional development opportunities to enhance skills and knowledge.', 'Research & Development.', 'Innovation of new ideas.']",2 To 5 Years,"['Design', 'Mechanical Engineering', 'AutoCAD', 'Engineering', 'SolidWorks', 'Mechanical', 'English', 'Manufacturing Industry', 'Industrial Engineering', 'Industrial Design', 'Steel Industry', 'HVAC Engineering', 'Heating, Ventilation, and Air Conditioning', 'Mechatronics', 'CNC']"
19,Python Developer,Integrated Technology Group,"Heliopolis, Cairo",Full Time,Experienced (Non-Manager),"['Proven experience from 2 to 4 years as a Python Developer.', 'Proven experience in AI and machine learning algorithms.', 'Proven experience in libraries such as Scikit-Learn, TensorFlow, and PyTorch is a must.', 'Knowledge in ChatGPT API integration. This would involve utilizing the ChatGPT APIs.', 'Strong proficiency in Python programming language, with a deep understanding of object-oriented programming principles and design patterns.', 'Experience with popular Python frameworks.', 'Experience working in an Agile development environment, with the ability to collaborate with team members and deliver high-quality code within set deadlines.', 'Excellent problem-solving skills and a proactive approach to tackling complex coding challenges.', 'Strong Research skills.']","['Write effective, scalable code', 'Develop back-end components to improve responsiveness and overall performance', 'Integrate user-facing elements into applications', 'Test and debug programs', 'Improve functionality of existing systems', 'Implement security and data protection solutions', 'Assess and prioritize feature requests', 'Coordinate with internal teams to understand user requirements and provide technical solutions']",2 To 4 Years,"['ML', 'Python', 'TensorFlow', 'PyTorch']"
20,Senior Data Analyst,Cilantro,"Maadi, Cairo",Full Time,Experienced (Non-Manager),[],[],4 To 6 Years,"['Analysis', 'analytical', 'Computer Science', 'Data Analysis', 'Data Analyst', 'Data', 'Programming', 'Python', 'SQL']"
21,Kibana Dashboard Developer,DXC.technology,"Cairo, Egypt",Full Time,Not Specified,[],"['Create visually appealing and user-friendly dashboards using Kibana.', 'Transform raw data into meaningful insights by designing intuitive panels and visualizations.', 'Collaborate with stakeholders to understand their data needs and translate them into effective dashboard solutions.', 'Hands-on experience with the Elastic Stack (Elasticsearch, Logstash, Kibana).', 'Configure and optimize Elasticsearch indices for efficient data retrieval.', 'Ensure seamless integration of Kibana with data sources.', 'Utilize Kibana to create dynamic and informative dashboards.', 'Implement filters, time series visualizations, and geospatial displays.', 'Leverage Kibana’s features such as Canvas and Data Views.', 'Familiarity with Elasticsearch data models and search capabilities.', 'Optimize queries and aggregations for performance.', 'Proficiency in writing KQL queries to extract relevant data.', 'Ability to create custom visualizations using KQL.', 'Awareness of anomaly detection using machine learning in Kibana.', 'Ability to incorporate anomaly swim lanes and charts.', 'Bachelor’s degree in Computer Science, Information Technology, or related field.', 'Experienced in Kibana dashboard design and development.', 'Strong understanding of data visualization principles.', 'Excellent communication skills and ability to collaborate with cross-functional teams.', 'Familiarity with Grafana is a plus.']",Not Specified,"['information technology (it)', 'computer science', 'sql', 'marketing', 'social media', 'media', 'communication skills', 'design', 'recruitment', 'business', 'writing', 'communication']"
22,Senior Cloud Engineer - LLM & GenAI,Antal International,Egypt,Full Time,Not Specified,[],"['Degree in Computer Science, Software Engineering, Information Technology, or a related field. ', 'At least 5 years of experience in the development and maintenance of AWS-based cloud environments designed to host Data, Analytics, and AI applications.', 'Experience with Azure AI service is a plus. ', 'Proficiency in infrastructure as a code (e.g., Terraform, CloudFormation) and other serverless services such as Lambda, API Gateway, CloudWatch, etc. ', 'Experience with good API development practices, RESTful services, web sockets, and container orchestration services such as Kubernetes or AWS ECS. ', 'Experienced with version control (git), automated testing, continuous integration, and deployment (Continuous Deployment for Machine Learning / CD4ML is a plus).   ', 'Familiar with enterprise security aspects such as SSL, TLS, HTTPS, LDAP, Active Directory, Oauth, JWT, and bearer authentication. ', 'Good understanding of AWS networking and infrastructure (e.g., VPC, load balancer, subnets, security groups). ', 'Hands-on experience with architectural design, architectural prototyping, and testing (test case definition and test verification). ']",Not Specified,"['Engineering', 'Information Technology (IT)', 'Computer Science', 'Software Engineering', 'Software Development', 'Computer Engineering', 'Mechanical Engineering', 'Electrical Engineering', 'Quality Control', 'Civil Engineering', 'Quality Assurance', 'Software Testing', 'Sales', 'AutoCAD', 'SQL', 'Construction', 'Architecture', 'Sales Skills', 'Testing', 'Software']"
